,sentence,task,label,encoded,output,target
0,This paper develops a framework for evaluating the ability of neural models on answering free-form mathematical problems.,fine,arg-structuring_summary,8.0,8,8
1,"The contributions are i) a publicly available dataset, and ii) an evaluation of two existing model families, recurrent networks and the Transformer.",fine,arg-structuring_summary,8.0,8,8
2,I think that this paper makes a good contribution by establishing a benchmark and providing some preliminary results.,fine,none,9.0,9,9
3,"I am biased because I once did exactly the same thing as this paper, although at a much smaller scale; I am thus happy to see such a public dataset.",fine,none,9.0,9,9
4,The paper is a reasonable dataset/analysis paper.,fine,none,9.0,9,9
5,Whether to accept it or not depends on what standard ICLR has towards such papers (ones that do not propose a new model/new theory).,fine,none,9.0,9,9
6,I think that the dataset generation process is well-thought-out.,fine,none,9.0,9,9
7,"There are a large variety of modules, and trying to not generate either trivial or impossible problems is a plus in my opinion.",fine,none,9.0,9,9
8,"The results and discussions in the main part of the paper are too light in my opinion; the average model accuracy across modules is not an interesting metric at all, although it does show that the Transformer performs better than recurrent networks.",fine,none,9.0,9,9
9,"I think the authors should move a portion of the big bar plot (too low resolution, btw) into the main text and discuss it thoroughly.",fine,arg-request_edit,1.0,2,1
10,"Details on how to generate the dataset, however, can be moved into the appendix.",fine,arg-request_edit,1.0,9,1
11,"I am also not entirely satisfied by using accuracy as the only metric; how about using something like beam search to build a ""soft"", secondary metric?",fine,arg-request_experiment,2.0,2,2
12,One other thing I want to see is a test set with multiple different difficulty levels.,fine,arg-request_experiment,2.0,2,2
13,"The authors try to do this with composition, which is good, but I am not sure whether that captures the real important thing - the ability to generalize, say learning to factorise single-variable polynomials and test it on factorising polynomials with multiple variables? And what about the transfer between these tasks (e.g., if a network learns to solve equations with both x and y and also factorise a polynomial with x, can it generalize to the unseen case of factorising a polynomial with both x and y)?",fine,arg-request_explanation,3.0,3,3
14,"Also, is there an option for ""unsolvable""?",fine,arg-request_clarification,0.0,3,0
15,"For example, the answer being a special ""this is impossible"" character for ""factorise x^2 - 5"" (if your training set does not use \sqrt, of course).",fine,none,9.0,9,9
16,# Weaknesses,fine,arg-structuring_heading,6.0,6,6
17,Applications are a bit unclear.,fine,none,9.0,9,9
18,It would be nice to see a better case made for spherical convolutions within the experimental section.,fine,arg-request_experiment,2.0,2,2
19,The experiments on SHREC17 show all three spherical methods under-performing other approaches.,fine,none,9.0,9,9
20,It leaves it unclear to the reader when someone should choose to utilize a spherical method or when the proposed method would then be preferred compared to other spherical methods.,fine,none,9.0,9,9
21,Is there a task that this representation significantly outperforms other spherical methods and non-spherical methods?,fine,none,9.0,3,9
22,Or a specific useful application where spherical methods in general outperform other approaches?,fine,none,9.0,9,9
23,# Strengths:,fine,arg-structuring_heading,6.0,6,6
24,The method is well developed and explained.,fine,none,9.0,9,9
25,Ability to implement in a straight-forward manner on GPU.,fine,none,9.0,9,9
26,"Authors provide a variant of WGAN, called PC-GAN, to generate 3D point clouds.",fine,arg-structuring_summary,8.0,8,8
27,The drawback of a vanilla GAN with a DeepSet classifier is analyzed.,fine,arg-structuring_summary,8.0,8,8
28,The rationality that decoupling the point generator with the object generator is also discussed.,fine,arg-structuring_summary,8.0,8,8
29,A sandwiching objective function is proposed to achieve a better estimation of Wasserstein distance.,fine,arg-structuring_summary,8.0,8,8
30,"Compared with AAE and the simplified variants of the proposed PC-GAN, the proposed PC-GAN achieves incremental results on point cloud generation.",fine,arg-structuring_summary,8.0,8,8
31,Comments:,fine,arg-structuring_heading,6.0,6,6
32,1. Authors calculate W_U in a primal form via solving an assignment programming problem.,fine,arg-structuring_quote,7.0,9,7
33,Have authors ever tried Sinkhorn iteration?,fine,arg-request_clarification,0.0,3,0
34,"To my knowledge, sinkhorn iteration is a very popular method to solve OT problem effectively.",fine,none,9.0,9,9
35,It would be nice if authors can provide some reasons and comparisons for their choice on the optimizer of W_U.,fine,arg-request_explanation,3.0,2,3
36,2.,fine,arg-structuring_heading,6.0,9,6
37,"Authors proved that the sandwiching object W_s is closer to the real Wasserstein distance, but it increases the variance of the loss function.",fine,arg-structuring_quote,7.0,8,7
38,"Specifically, the dynamics of W_U, and W_L, according to lemma1, is (epsilon2-epsilon1)*w(P, G) while the dynamics of W_s is 2*epsilon1 * w(P, G), and 2epsilon1 > epsilon2 - epsilon1 (according to the assumption in lemma 1).",fine,arg-structuring_quote,7.0,9,7
39,Does it mean that the W_s is not as stable as W_L or W_U during training?,fine,arg-request_clarification,0.0,3,0
40,"Additionally, authors combined W_U with W_L with a mixture 20:1, i.e., the s in Eqs(6, 13, 14) is smaller than 0.05.",fine,arg-structuring_quote,7.0,9,7
41,"In such a situation, both the value and the dynamics of W_s will be very close to that of W_U. Does it mean that W_L is not so important as W_U?",fine,arg-request_clarification,0.0,3,0
42,Authors should analyze the stability of their method in details.,fine,none,9.0,2,9
43,"Essentially, the proposed method is a variant of WGAN, which estimates Wasserstein distance with lower bias but may suffer from worse stability.",fine,none,9.0,8,9
44,"In the experiments, both the setting and the experimental results show that the proposed W_s will be very close to W_U. As a result, the improvement caused by the proposed method is incremental compared with its variants.",fine,none,9.0,9,9
45,Typos:,fine,arg-structuring_heading,6.0,6,6
46,"- The end of the 2nd line of lemma 1: P, G should be \mathbb{P}, \mathbb{G}",fine,arg-request_typo,5.0,1,5
47,- The 3rd line of lemma 1: epsilon1 -> epsilon_1,fine,arg-request_typo,5.0,5,5
48,"- Page 14, Eq(14), \lambda should be s",fine,arg-request_typo,5.0,1,5
49,"- Page 14, Eqs(13, 14), w(\mathbb{P}, \mathbb{G}) should appear on the right.",fine,arg-request_typo,5.0,1,5
50,= Summary,fine,arg-structuring_heading,6.0,6,6
51,Embeddings of mathematical theorems and rewrite rules are presented.,fine,arg-structuring_summary,8.0,8,8
52,"An in-depth analysis of the resulting embeddings is presented, showing that a network can learn to ""apply"" embedded rewrite rules to embedded theorems, yielding results that are similar to the embedding of the rewritten theorem.",fine,arg-structuring_summary,8.0,8,8
53,"[i.e., app'(emb(thm), emb(rule)) is near to emb(app(thm, rule))] This is an interesting property for the application of deep learning to automated theorem proving, though not directly a breakthrough result.",fine,arg-structuring_summary,8.0,9,8
54,= Strong/Weak Points,fine,arg-structuring_heading,6.0,6,6
55,"+ Simply a cute result, showing that proof search can remain in embedding space for a limited time horizon without having to switch back into the theorem prover environment.",fine,none,9.0,9,9
56,+ Nicely designed experiments testing this (somewhat surprising) property empirically,fine,none,9.0,9,9
57,- Missed opportunity of better analysis of which theorem/rewrite rule properties are more likely to fail,fine,none,9.0,9,9
58,"- Writing sometimes a bit overcomplicated (e.g., Sect. 4.5 could just be a figure of a commuting diagram and two sentences...)",fine,none,9.0,9,9
59,- Architecture choice unclear: Why are $\sigma$ and $\omega$ separate networks.,fine,none,9.0,9,9
60,"This is discussed on p4, but it's unclear to me how keeping $\sigma$ separate is benefitial for the analysis, and this is not picked up again explicitly again?",fine,arg-request_explanation,3.0,3,3
61,= Recommendation,fine,arg-structuring_heading,6.0,6,6
62,"Overall, this is a nice, somewhat surprising result.",fine,none,9.0,9,9
63,"The writing and experiments could use some improvement, but I believe that the majority of the ICLR audience would enjoy seeing this result (even though it would have no impact on most people's research)",fine,none,9.0,9,9
64,= Detailed Comments,fine,arg-structuring_heading,6.0,6,6
65,"- page 4, Sect. 4.4: Architecture of $\alpha$ would be nice (more than a linear layer?)",fine,arg-request_explanation,3.0,3,3
66,"- page 5, paragraph 3: ""we from some"" -> ""we start from some""",fine,arg-request_typo,5.0,5,5
67,"- p6par1: ""much cheaper then computing"" -> than",fine,arg-request_typo,5.0,5,5
68,"- p6par6: ""on formulas that with"" -> no that",fine,arg-request_typo,5.0,5,5
69,"- p6par7: ""measure how rate"" -> ""measure the rate""",fine,arg-request_typo,5.0,5,5
70,"- p8par1: ""approximate embedding $\alpha(e(\gamma'(...)))$ - $e$ is undefined and should probably be $e'$ (this is also the case in the caption of Fig. 5), and $c'$ should probably be included as well.",fine,arg-request_edit,1.0,1,1
71,"However, I don't understand the use of $\alpha$ here.",fine,none,9.0,9,9
72,"If Fig. 4 is following Fig. 3 in considering $p(c(\gamma(T), \pi(P)))$, then Fig. 4 should plot the performance of, e.g., $p(c(e'(c'(\gamma'(T_{i-1}), \pi'(P_{i-1}))), \pi(P_i)))$ (i.e., $p$ applied to approximate embedding of $T_i$ and (""true"") embedding of $P_i$).",fine,none,9.0,9,9
73,"I believe that's what ""Pred (One Step)"" expresses, but it would maybe be generally helpful to be more precise about the notation",fine,arg-request_edit,1.0,9,1
74,in Sect. 6.,fine,none,9.0,9,9
75,The paper proposes 4d convolution and an enhanced inference strategy to improve the feature interaction for video classification.,fine,arg-structuring_summary,8.0,8,8
76,State-of-the-art performance is achieved on several datasets.,fine,none,9.0,8,9
77,"However, there are still details and concerns.",fine,arg-structuring_heading,6.0,9,6
78,"1. The paper should also talk about the details of ARNet and discuss the difference, as I assume they are the most related work",fine,arg-request_experiment,2.0,1,2
79,"2. during sampling, either training or testing, how do authors handle temporal overlap or make it overlap?",fine,arg-request_clarification,0.0,3,0
80,"3. can you provide the training memory, inference speed, and total training time?",fine,arg-request_result,4.0,3,4
81,"4. Most importantly, for table4, authors are comparing to the ResNet18 ARNet instead of ResNet50? which is better than the proposed method.",fine,none,9.0,9,9
82,"5. lack of related work:  4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks, CVPR 2019.",fine,arg-request_edit,1.0,1,1
83,"Though rather dense in its exposition, this paper is an interesting contribution to the area of self-supervised learning  based on discrete representations.",fine,none,9.0,9,9
84,What would make it stronger imo is to address the issue of how much is gained from a discrete vs. continuous representation.,fine,arg-request_edit,1.0,2,1
85,The authors take it as a given that discrete is good because it allows us to leverage work in NLP.,fine,arg-structuring_quote,7.0,9,7
86,That makes sense -- but at what cost?,fine,arg-request_clarification,0.0,3,0
87,"""Table 4 shows that our first results are promising, even though they are not as good as the state of the art."" The state of the art on LibriSpeech is not Mohamed at al. 2019. See e.g. Irie et al. Interspeech 2019 for better result",fine,none,9.0,9,9
88,"The Conclusion is very sparse. ""In future work, we are planning to apply other algorithms requiring discrete inputs to audio data"":",fine,arg-structuring_quote,7.0,9,7
89,can  you elaborate?,fine,arg-request_explanation,3.0,3,3
90,The authors of this paper are proposing a neural network approach for learning diffusion dynamics in networks.,fine,arg-structuring_summary,8.0,8,8
91,The authors argue that the main advantage of their framework is that it incorporates the structure of independent cascades into the model which predicts the diffusion process.,fine,arg-structuring_summary,8.0,8,8
92,The primary difficulty in reviewing this paper is the poor presentation of the paper.,fine,none,9.0,9,9
93,"There are many typos and mistakes (e.g., the last paragraph of the paper starts with a sentence that does not make any sense), missing references (e.g., there is an empty parenthesis at the end of the second paragraph on the second page) and in at least two cases, there are references to a formula that is not in the manuscript (e.g., reference to formula 15 on line 3 of page 5).",fine,none,9.0,9,9
94,This issues makes reviewing this paper very difficult.,fine,none,9.0,9,9
95,"In the modeling section, authors use p(I|D) as q^D(.) in the Eq. 12, where p(I|D) is the conditional probability that a particular node infected an observed infected node first.",fine,arg-structuring_quote,7.0,9,7
96,"Plugging p(I|D) in Eq. 12 and using decomposition of p(D ,I) used in Eq. 10, we arrive at a formulation which drops all p(I|D) terms.",fine,arg-structuring_quote,7.0,8,7
97,"This results in an objective function which only involves infected nodes (and no term associated with the parent node), weighted by likelihood of each node j infecting the node at step i. This should make the training more simplified than what is discussed in Algorithm 2.",fine,none,9.0,9,9
98,"Beyond this simplification, I am not clear if that is actually intended by the authors.",fine,arg-request_clarification,0.0,9,0
99,The experiments demonstrate a superior performance of the proposed model compared to alternative benchmarks.,fine,arg-structuring_quote,7.0,9,7
100,The authors explain how they trained their own model but there is no mention on how they trained benchmark models.,fine,arg-request_clarification,0.0,9,0
101,"However, given that the datasets used in the experiments were not used in the associated benchmark papers, it is necessary for authors to explain how they trained competing models.",fine,arg-request_explanation,3.0,2,3
102,"Due to several shortcomings of the paper, most important of which is on presentation of the paper, this manuscript requires a significant revision by the authors to reach the necessary standards for publication, moreover it would be helpful to clarify the modeling choices and consequences of these choices more clearly.",fine,none,9.0,9,9
103,Quality: A simple approach accompanied with a theoretical justification and large number of experimental results.,fine,arg-structuring_summary,8.0,9,8
104,The theoretical justification is spread out in the main body and appendices.,fine,arg-structuring_summary,8.0,8,8
105,The proof given in the appendix is overly short and not detailed enough.,fine,none,9.0,9,9
106,"The large number of experiment although welcoming needs to be properly discussed and related to the state of the art numbers, including any work that the authors are referring themselves in this submission.",fine,arg-request_edit,1.0,1,1
107,The approach is not linked to so called Tandem approach that was/is popular in speech recognition where a generative model (GMM) is trained on top of features extracted by a neural network model.,fine,none,9.0,9,9
108,Clarity: The simple approach is clearly described.,fine,none,9.0,9,9
109,"However, the theoretical justification and experimental results are not.",fine,none,9.0,9,9
110,Originality: The work is moderately original.,fine,none,9.0,9,9
111,Significance: It is hard to assess given the current submission.,fine,none,9.0,9,9
112,The paper investigates the possibility of learning a model to predict the training behaviour of deep learning architectures from hyperparameter information and a history of training observations.,fine,arg-structuring_summary,8.0,8,8
113,The model can then be used by researchers or a reinforcement learning agent to make better hyperparameter choices.,fine,arg-structuring_summary,8.0,8,8
114,The paper first adapts the Transformer model to be suitable to this prediction task by introducing a discretization scheme that prevents the transformer decoder's predictions from collapsing to a single curve.,fine,arg-structuring_summary,8.0,8,8
115,"Next, the problem is formalized as a partially-observable MDP with a discrete action set, and PPO and SimPLe are introduced.",fine,arg-structuring_summary,8.0,8,8
116,The proposed model-based method is compared against a human and a model-free baseline training a Wide ResNet on CIFAR-10.,fine,arg-structuring_summary,8.0,8,8
117,The model-based method achieves better validation error than the other baselines that use actual data.,fine,none,9.0,9,9
118,"Next, the method is compared against a human and a model-free baseline training Transformer models on the Penn Treebank dataset.",fine,arg-structuring_summary,8.0,8,8
119,"While the human achieves the best performance at the end of the run, the proposed method appears to learn more quickly than the others and finishes with performance comparable to the model-free baseline.",fine,none,9.0,9,9
120,"Currently I lean towards accepting this paper for publication, despite a few issues.",fine,none,9.0,9,9
121,It asks an interesting question: can we learn a model of the training dynamics to avoid actually having to do the training?,fine,arg-request_explanation,3.0,3,3
122,This could potentially prevent a lot of unnecessary computation and also lead to better-performing models.,fine,none,9.0,9,9
123,It then shows some experimental evidence suggesting that this is possible.,fine,none,9.0,9,9
124,"Most importantly, I would like to see a measure of variance/uncertainty like confidence intervals included in the results; otherwise it's impossible to assess whether the results are likely to be significant or not. Other questions:",fine,arg-request_result,4.0,6,4
125,"1. In the PTB experiment, it looks like the human only adapts the learning rate and leaves the rest of the hyperparameters alone.",fine,none,9.0,9,9
126,Why was this policy used as the baseline? It seems extremely basic and unlikely to truly lead to optimal performance.,fine,arg-request_clarification,0.0,3,0
127,"2. Why were more baselines from the related work not included? I understand the experiments are a proof of concept, but it would be nice to get a feeling for what some of the other methods do.",fine,arg-request_result,4.0,3,4
128,3. How do PPO and SimPLe handle partial observability? Is it principled to apply them to partially-observable environments?,fine,arg-request_explanation,3.0,3,3
129,4. Why not use continuous actions with a parameterized policy (e.g. Gaussian)?,fine,arg-request_explanation,3.0,3,3
130,5. Is it reasonable to assume that the learning dynamics of all deep learning architectures are similar enough that a model trained on one set of deep learning architectures and problems will generalize to new architectures and problems?,fine,arg-request_explanation,3.0,3,3
131,"This paper targets at studying the mutual exclusive bias which existed in children learning, to help understand whether there exists similar bias in deep networks.",fine,arg-structuring_summary,8.0,8,8
132,"In general, the whole paper tries to tell a very interesting, and good story.",fine,none,9.0,9,9
133,The paper is very well organized and written.,fine,none,9.0,9,9
