,sentence,task,label,encoded,output,target
0,This paper develops a framework for evaluating the ability of neural models on answering free-form mathematical problems.,pol,none,0.0,0,0
1,"The contributions are i) a publicly available dataset, and ii) an evaluation of two existing model families, recurrent networks and the Transformer.",pol,none,0.0,0,0
2,I think that this paper makes a good contribution by establishing a benchmark and providing some preliminary results.,pol,pol_positive,3.0,3,3
3,"I am biased because I once did exactly the same thing as this paper, although at a much smaller scale; I am thus happy to see such a public dataset.",pol,none,0.0,0,0
4,The paper is a reasonable dataset/analysis paper.,pol,pol_positive,3.0,3,3
5,Whether to accept it or not depends on what standard ICLR has towards such papers (ones that do not propose a new model/new theory).,pol,none,0.0,0,0
6,I think that the dataset generation process is well-thought-out.,pol,pol_positive,3.0,3,3
7,"There are a large variety of modules, and trying to not generate either trivial or impossible problems is a plus in my opinion.",pol,pol_positive,3.0,3,3
8,"The results and discussions in the main part of the paper are too light in my opinion; the average model accuracy across modules is not an interesting metric at all, although it does show that the Transformer performs better than recurrent networks.",pol,pol_negative,1.0,1,1
9,"I think the authors should move a portion of the big bar plot (too low resolution, btw) into the main text and discuss it thoroughly.",pol,pol_neutral,2.0,2,2
10,"Details on how to generate the dataset, however, can be moved into the appendix.",pol,pol_neutral,2.0,1,2
11,"I am also not entirely satisfied by using accuracy as the only metric; how about using something like beam search to build a ""soft"", secondary metric?",pol,pol_negative,1.0,1,1
12,One other thing I want to see is a test set with multiple different difficulty levels.,pol,pol_neutral,2.0,2,2
13,"The authors try to do this with composition, which is good, but I am not sure whether that captures the real important thing - the ability to generalize, say learning to factorise single-variable polynomials and test it on factorising polynomials with multiple variables? And what about the transfer between these tasks (e.g., if a network learns to solve equations with both x and y and also factorise a polynomial with x, can it generalize to the unseen case of factorising a polynomial with both x and y)?",pol,pol_neutral,2.0,1,2
14,"Also, is there an option for ""unsolvable""?",pol,pol_neutral,2.0,2,2
15,"For example, the answer being a special ""this is impossible"" character for ""factorise x^2 - 5"" (if your training set does not use \sqrt, of course).",pol,none,0.0,0,0
16,# Weaknesses,pol,none,0.0,0,0
