,sentence,task,label,encoded,output,target
0,Thank you for your suggestion of increasing the discussion of the results.,reb_coarse,nonarg,2.0,2,2
1,We’ve expanded the discussion of the results as much as possible.,reb_coarse,concur,0.0,0,0
2,"For now we would prefer to keep the actual bar plot of individual module performance in the appendix in the interest of space, and keep the dataset description in the main part, as this was appreciated by the other two reviewers.",reb_coarse,dispute,1.0,0,1
3,"As you say, the ability to generalize is very important in mathematics.",reb_coarse,nonarg,2.0,2,2
4,"The paper contains an extrapolation test set to do exactly this - these include generalization tests on larger numbers, longer sequences, more function compositions (which is similar to having more variables), etc (see Appendix B for more details).",reb_coarse,dispute,1.0,0,1
5,"We haven’t attempted to be exhaustive in types of generalization, but the extrapolation test set can be extended in the future to allow for this.",reb_coarse,concur,0.0,0,0
6,"None of the modules currently include “unsolvable” as an answer, but this is something that would definitely fit within the framework.",reb_coarse,concur,0.0,0,0
7,"(As an aside: there would be no need to have a special character; we could simply select some consistent word like “Unsolvable”; neural models trained so far seem to have no problem outputting “True” or “False”.) More generally, there are many further types of problems, that could be included in the dataset - but we hope for now that the current range is comprehensive in types of reasoning required for school-level mathematics.",reb_coarse,dispute,1.0,0,1
8,We always welcome contributions to the dataset that extend the range of questions in a consistent manner.,reb_coarse,concur,0.0,0,0
9,"Thank you for your positive review, we address your reasonable concern for the applications of the proposed method in below:",reb_coarse,nonarg,2.0,2,2
10,Q1:  It would be nice to see a better case made for spherical convolutions within the experimental section.,reb_coarse,concur,0.0,0,0
11,A1,reb_coarse,nonarg,2.0,2,2
12,: We believe the best case is the non-rigid shape classification and retrieval.,reb_coarse,concur,0.0,0,0
13,Our method achieves a state-of-the-art classification and retrieval performance on Shrec’11.,reb_coarse,concur,0.0,0,0
14,"The good performance on non-rigid shape is mainly contributed by the use of bijective spherical parameterization method, which obtains the input spherical image without topological information losses.",reb_coarse,concur,0.0,0,0
15,"When using spherical projection method to represent 3D shape, there will be information loss if the object is non-convex.",reb_coarse,concur,0.0,0,0
16,The lossy input affect the performance of rigid shape analysis to some extent.,reb_coarse,concur,0.0,0,0
17,Q2: The experiments on SHREC17 show all three spherical methods under-performing other approaches.,reb_coarse,concur,0.0,0,0
18,It leaves it unclear to the reader when someone should choose to utilize a spherical method or when the proposed method would then be preferred compared to other spherical methods.,reb_coarse,concur,0.0,0,0
19,Is there a task that this representation significantly outperforms other spherical methods and non-spherical method?,reb_coarse,concur,0.0,2,0
20,"A2: The experiments on SHREC17 does show all three spherical methods slightly under-perform some other state-of-the art approaches, We believe this is mainly due to the information losses introduced in the spherical projection process which retains only the convex portion geometric information.",reb_coarse,concur,0.0,0,0
21,"Future improvements can be added by using:  (1) less lossy input in spherical projection methods (e.g. on top of SEF, and EDF, we can also add other statistic information such as the minimum distance of intersection, mean distance of intersections or standard deviation of the intersection and so on to reduce the information losses); (2) extend the spherical parameterization method on to the general 3D shapes.",reb_coarse,concur,0.0,0,0
22,"Currently, the spherical parameterization method only works for genus-0 closed object.",reb_coarse,concur,0.0,0,0
23,The 3D models presented on ModelNet and Shrec’17 are of arbitrary genus which prevents us from using spherical parameterization method.,reb_coarse,concur,0.0,0,0
24,Generalization of spherical parameterization methods to objects with arbitrary topology will be one of the future work.,reb_coarse,concur,0.0,0,0
25,"Compared to non-spherical method, spherical image is one of the most compact representation for 3D shape analysis, the spherical convolution methods rely on no data augmentation (for Type I and Type II) or reduced data augmentation (for Type III, only SO(2) rotation augmentation is required).",reb_coarse,concur,0.0,0,0
26,"Other non-spherical method (such as volumetric or multi-view based methods)  can only be generalized into unknown orientations using SO(3) rotation augmentations, their representation of 3D shapes are either too sparse (voxel model) or too redundant (multi-view projections).",reb_coarse,concur,0.0,0,0
27,"Compared to SO(3) spherical convolution method (Cohen et al. 2018), our network is computationally efficient (in terms of network model), but we have to admit that this is at the price of required data augmentation",reb_coarse,concur,0.0,0,0
28,.,reb_coarse,nonarg,2.0,2,2
29,Another advantage is that our network allows local filters and local-to-global multi-level spherical features extraction.,reb_coarse,concur,0.0,0,0
30,"The other two spherical convolution methods (Cohen et al 2018 and Esteves et al 2018) use a lat-lon grid and conduct convolution in the Fourier space, which has a common disadvantage: the Fourier transform does not support local spherical filters.",reb_coarse,concur,0.0,0,0
31,"Another disadvantage is the use of lat-lon grid which introduces unevenness of the perception field (due to the high resolution near the poles, and low resolution at the equator).",reb_coarse,concur,0.0,0,0
32,"Experimentally, we compared the three spherical convolution methods in Table 3 using Shrec’17 perturbed shape retrieval experiment.",reb_coarse,concur,0.0,0,0
33,"Cohen et al 2018 and ours obtain similar performances because both of the methods used anisotropic filters, the former achieves rotational invariant using SO(3) rotations for filters, while ours achieves rotational invariant using alt-az rotation of filter and SO(2) rotation augmentation of input shapes.",reb_coarse,concur,0.0,0,0
34,"As expected, anisotropic filter perform  better than the isotropic filter proposed in Esteves et al 2018 which limits the model capacity.",reb_coarse,concur,0.0,0,0
35,Q3:  Is there a specific useful application where spherical methods in general outperform other approaches?,reb_coarse,concur,0.0,2,0
36,"A3: As mentioned in Cohen et al 2018, perhaps the most exciting future application of the Spherical CNN is in omnidirectional vision.",reb_coarse,concur,0.0,0,0
37,"Although very little omnidirectional image data is currently available in public repositories, the increasing prevalence of omnidirectional sensors in drones, robots, and autonomous cars makes this a very compelling application of our work.",reb_coarse,dispute,1.0,0,1
38,Omnidirectional vision is a better application to show the strength of the spherical convolution method.,reb_coarse,dispute,1.0,0,1
39,We thank reviewer for his insightful comments.,reb_coarse,nonarg,2.0,2,2
40,1.,reb_coarse,nonarg,2.0,2,2
41,We agree with the reviewer that sinkhorn iteration is a way to obtain an upper bound on Wasserstein distance.,reb_coarse,concur,0.0,0,0
42,"However, based on the original paper, they solve the Sinkhorn divergen with T iterations, later when they solve the generator based on the estimated distance, the gradient has to backpropagate through those T iterations, which is expensive and infeasible.",reb_coarse,dispute,1.0,0,1
43,"We also note that there is new work, IPOT (Xie et al., 2018), which can get rid of backpropagating through the T iterations as what we adopted (Bertsekas, 1985) in the paper.",reb_coarse,dispute,1.0,0,1
44,Combining PC-GAN with IPOP or other future works could be an interesting future work.,reb_coarse,concur,0.0,0,0
45,"2.  The variance of the sandwiched estimator can be higher, but we are more concerned about bias in this work, which can be treated as a bias-variance trade-off.",reb_coarse,dispute,1.0,0,1
