,sentence,task,label,encoded,output,target
0,Thank you for your suggestion of increasing the discussion of the results.,reb_fine,rebuttal_social,14.0,14,14
1,We’ve expanded the discussion of the results as much as possible.,reb_fine,rebuttal_done,5.0,5,5
2,"For now we would prefer to keep the actual bar plot of individual module performance in the appendix in the interest of space, and keep the dataset description in the main part, as this was appreciated by the other two reviewers.",reb_fine,rebuttal_reject-request,13.0,1,13
3,"As you say, the ability to generalize is very important in mathematics.",reb_fine,rebuttal_structuring,15.0,1,15
4,"The paper contains an extrapolation test set to do exactly this - these include generalization tests on larger numbers, longer sequences, more function compositions (which is similar to having more variables), etc (see Appendix B for more details).",reb_fine,rebuttal_refute-question,11.0,15,11
5,"We haven’t attempted to be exhaustive in types of generalization, but the extrapolation test set can be extended in the future to allow for this.",reb_fine,rebuttal_future,7.0,7,7
6,"None of the modules currently include “unsolvable” as an answer, but this is something that would definitely fit within the framework.",reb_fine,rebuttal_answer,1.0,1,1
7,"(As an aside: there would be no need to have a special character; we could simply select some consistent word like “Unsolvable”; neural models trained so far seem to have no problem outputting “True” or “False”.) More generally, there are many further types of problems, that could be included in the dataset - but we hope for now that the current range is comprehensive in types of reasoning required for school-level mathematics.",reb_fine,rebuttal_reject-request,13.0,1,13
8,We always welcome contributions to the dataset that extend the range of questions in a consistent manner.,reb_fine,rebuttal_answer,1.0,1,1
9,"Thank you for your positive review, we address your reasonable concern for the applications of the proposed method in below:",reb_fine,rebuttal_social,14.0,14,14
10,Q1:  It would be nice to see a better case made for spherical convolutions within the experimental section.,reb_fine,rebuttal_answer,1.0,1,1
11,A1,reb_fine,rebuttal_other,10.0,15,10
12,: We believe the best case is the non-rigid shape classification and retrieval.,reb_fine,rebuttal_answer,1.0,1,1
13,Our method achieves a state-of-the-art classification and retrieval performance on Shrec’11.,reb_fine,rebuttal_answer,1.0,1,1
14,"The good performance on non-rigid shape is mainly contributed by the use of bijective spherical parameterization method, which obtains the input spherical image without topological information losses.",reb_fine,rebuttal_answer,1.0,1,1
15,"When using spherical projection method to represent 3D shape, there will be information loss if the object is non-convex.",reb_fine,rebuttal_answer,1.0,1,1
16,The lossy input affect the performance of rigid shape analysis to some extent.,reb_fine,rebuttal_answer,1.0,1,1
17,Q2: The experiments on SHREC17 show all three spherical methods under-performing other approaches.,reb_fine,rebuttal_answer,1.0,15,1
18,It leaves it unclear to the reader when someone should choose to utilize a spherical method or when the proposed method would then be preferred compared to other spherical methods.,reb_fine,rebuttal_answer,1.0,15,1
19,Is there a task that this representation significantly outperforms other spherical methods and non-spherical method?,reb_fine,rebuttal_answer,1.0,15,1
20,"A2: The experiments on SHREC17 does show all three spherical methods slightly under-perform some other state-of-the art approaches, We believe this is mainly due to the information losses introduced in the spherical projection process which retains only the convex portion geometric information.",reb_fine,rebuttal_answer,1.0,1,1
21,"Future improvements can be added by using:  (1) less lossy input in spherical projection methods (e.g. on top of SEF, and EDF, we can also add other statistic information such as the minimum distance of intersection, mean distance of intersections or standard deviation of the intersection and so on to reduce the information losses); (2) extend the spherical parameterization method on to the general 3D shapes.",reb_fine,rebuttal_answer,1.0,7,1
22,"Currently, the spherical parameterization method only works for genus-0 closed object.",reb_fine,rebuttal_answer,1.0,1,1
23,The 3D models presented on ModelNet and Shrec’17 are of arbitrary genus which prevents us from using spherical parameterization method.,reb_fine,rebuttal_answer,1.0,1,1
24,Generalization of spherical parameterization methods to objects with arbitrary topology will be one of the future work.,reb_fine,rebuttal_answer,1.0,7,1
25,"Compared to non-spherical method, spherical image is one of the most compact representation for 3D shape analysis, the spherical convolution methods rely on no data augmentation (for Type I and Type II) or reduced data augmentation (for Type III, only SO(2) rotation augmentation is required).",reb_fine,rebuttal_answer,1.0,1,1
